Feature Set,Model,Accuracy,Precision,Recall,F1,AUC
Admissions Only,Logistic Regression,0.6196236559139785,0.6190476190476191,0.8184019370460048,0.7049009384775808,0.6488555481591479
Admissions Only,Random Forest,0.6115591397849462,0.6161048689138576,0.7966101694915254,0.6948257655755016,0.6378389647630264
Admissions Only,Gradient Boosting,0.6330645161290323,0.6219512195121951,0.864406779661017,0.723404255319149,0.6490713444474517
Admissions Only,XGBoost,0.6102150537634409,0.6092362344582594,0.8305084745762712,0.7028688524590164,0.6414014323021441
Admissions + Year 1,Logistic Regression,0.8369565217391305,0.8485714285714285,0.8510028653295129,0.8497854077253219,0.9266135690350153
Admissions + Year 1,Random Forest,0.8400621118012422,0.847457627118644,0.8595988538681948,0.8534850640113798,0.912728862124229
Admissions + Year 1,Gradient Boosting,0.8400621118012422,0.8554913294797688,0.8481375358166189,0.8517985611510791,0.9242290321014035
Admissions + Year 1,XGBoost,0.8229813664596274,0.8386167146974063,0.833810888252149,0.8362068965517241,0.9111893545723861
